index,Reaction,Ground turth,LocalMapper,RXNMapper,GraphMapper,LocalMapper_Conf,RXNMapper_Conf,GraphMapper_Conf,Source
0,C=CCC(N)(c1ccccc1)c1ccccc1.O=CC(C(=O)N1CCOCC1)c1ccccc1>>C=CCC(N=C(c1ccccc1)c1ccccc1)C(C(=O)N1CCOCC1)c1ccccc1,[NH2:1][C:2]([CH2:3][CH:4]=[CH2:5])([c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1.[O:18]=[CH:19][CH:20]([C:21](=[O:22])[N:23]1[CH2:24][CH2:25][O:26][CH2:27][CH2:28]1)[c:29]1[cH:30][cH:31][cH:32][cH:33][cH:34]1>>[N:1](=[C:2]([c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1)[CH:19]([CH2:5][CH:4]=[CH2:3])[CH:20]([C:21](=[O:22])[N:23]1[CH2:24][CH2:25][O:26][CH2:27][CH2:28]1)[c:29]1[cH:30][cH:31][cH:32][cH:33][cH:34]1,[NH2:1][C:2]([CH2:5][CH:4]=[CH2:3])([c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1.O=[CH:19][CH:20]([C:21](=[O:22])[N:23]1[CH2:24][CH2:25][O:26][CH2:27][CH2:28]1)[c:29]1[cH:30][cH:31][cH:32][cH:33][cH:34]1>>[N:1](=[C:2]([c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1)[CH:19]([CH2:5][CH:4]=[CH2:3])[CH:20]([C:21](=[O:22])[N:23]1[CH2:24][CH2:25][O:26][CH2:27][CH2:28]1)[c:29]1[cH:30][cH:31][cH:32][cH:33][cH:34]1,[CH2:1]=[CH:2][CH2:3][C:6]([NH2:5])([c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1)[c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1.O=[CH:4][CH:19]([C:20](=[O:21])[N:22]1[CH2:23][CH2:24][O:25][CH2:26][CH2:27]1)[c:28]1[cH:29][cH:30][cH:31][cH:32][cH:33]1>>[CH2:1]=[CH:2][CH2:3][CH:4]([N:5]=[C:6]([c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1)[c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1)[CH:19]([C:20](=[O:21])[N:22]1[CH2:23][CH2:24][O:25][CH2:26][CH2:27]1)[c:28]1[cH:29][cH:30][cH:31][cH:32][cH:33]1,[CH2:25]1[CH2:24][N:23]([CH2:28][CH2:27][O:26]1)[C:21](=[O:22])[CH:20]([CH:19]=[O:18])[c:29]2[cH:34][cH:33][cH:32][cH:31][cH:30]2.[cH:8]1[cH:7][c:6]([cH:11][cH:10][cH:9]1)[C:4]([c:12]2[cH:17][cH:16][cH:15][cH:14][cH:13]2)([NH2:5])[CH2:3][CH:2]=[CH2:1]>>[cH:8]1[cH:7][c:6]([cH:11][cH:10][cH:9]1)[C:4]([c:12]2[cH:17][cH:16][cH:15][cH:14][cH:13]2)=[N:5][CH:19]([CH2:3][CH:2]=[CH2:1])[CH:20]([c:29]3[cH:34][cH:33][cH:32][cH:31][cH:30]3)[C:21](=[O:22])[N:23]4[CH2:24][CH2:25][O:26][CH2:27][CH2:28]4,False,0.5473875874687767,0,golden
1,C=CC(O)C(C)N.C=CCSCC(C)=O>>CC(=O)CSCC=CC(O)C(C)N,[CH3:1][C:2](=[O:3])[CH2:4][S:5][CH2:6][CH:7]=[CH2:8].[CH3:9][CH:10]([NH2:11])[CH:12]([OH:13])[CH:14]=[CH2:15]>>[CH3:1][C:2](=[O:3])[CH2:4][S:5][CH2:6][CH:7]=[CH:14][CH:12]([CH:10]([CH3:9])[NH2:11])[OH:13],[CH3:1][C:2](=[O:3])[CH2:4][S:5][CH2:6][CH:7]=C.[CH3:9][CH:10]([NH2:11])[CH:12]([OH:13])[CH:14]=C>>[CH3:1][C:2](=[O:3])[CH2:4][S:5][CH2:6][CH:7]=[CH:14][CH:12]([CH:10]([CH3:9])[NH2:11])[OH:13],C=[CH:8][CH:9]([OH:10])[CH:11]([CH3:12])[NH2:13].C=[CH:7][CH2:6][S:5][CH2:4][C:2]([CH3:1])=[O:3]>>[CH3:1][C:2](=[O:3])[CH2:4][S:5][CH2:6][CH:7]=[CH:8][CH:9]([OH:10])[CH:11]([CH3:12])[NH2:13],[CH3:1][C:2](=[O:3])[CH2:4][S:5][CH2:6][CH:7]=[CH2:8].[NH2:11][CH:10]([CH3:9])[CH:12]([OH:13])[CH:14]=[CH2:15]>>[CH:8](=[CH:7][CH2:6][S:5][CH2:4][C:2]([CH3:1])=[O:3])[CH:12]([OH:13])[CH:10]([NH2:11])[CH3:9],True,0.5905885266627776,0,golden
2,C=CCC(CCC(COCc1ccccc1)O[Si](C)(C)C(C)(C)C)OS(C)(=O)=O>>C=CCC1CCC(COCc2ccccc2)O1,[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([CH3:6])([CH3:7])[O:8][CH:9]([CH2:10][CH2:11][CH:12]([CH2:13][CH:14]=[CH2:15])[O:16][S:17]([CH3:18])(=[O:19])=[O:20])[CH2:21][O:22][CH2:23][c:24]1[cH:25][cH:26][cH:27][cH:28][cH:29]1>>[O:8]1[CH:9]([CH2:21][O:22][CH2:23][c:24]2[cH:25][cH:26][cH:27][cH:28][cH:29]2)[CH2:10][CH2:11][CH:12]1[CH2:13][CH:14]=[CH2:15],CC(C)(C)[Si](C)(C)[O:8][CH:9]([CH2:10][CH2:11][CH:12]([CH2:13][CH:14]=[CH2:15])OS(C)(=O)=O)[CH2:21][O:22][CH2:23][c:24]1[cH:25][cH:26][cH:27][cH:28][cH:29]1>>[O:8]1[CH:9]([CH2:21][O:22][CH2:23][c:24]2[cH:25][cH:26][cH:27][cH:28][cH:29]2)[CH2:10][CH2:11][CH:12]1[CH2:13][CH:14]=[CH2:15],CC(C)(C)[Si](C)(C)O[CH:7]([CH2:6][CH2:5][CH:4]([CH2:3][CH:2]=[CH2:1])[O:17]S(C)(=O)=O)[CH2:8][O:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>>[CH2:1]=[CH:2][CH2:3][CH:4]1[CH2:5][CH2:6][CH:7]([CH2:8][O:9][CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[O:17]1,[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([CH3:6])([CH3:7])[O:8][CH:9]([CH2:10][CH2:11][CH:12]([CH2:13][CH:14]=[CH2:15])[O:16][S:17](=[O:19])(=[O:20])[CH3:18])[CH2:21][O:22][CH2:23][c:24]1[cH:25][cH:26][cH:27][cH:28][cH:29]1>>[cH:26]1[cH:25][c:24]([cH:29][cH:28][cH:27]1)[CH2:23][O:22][CH2:21][CH:9]2[O:8][CH:12]([CH2:11][CH2:10]2)[CH2:13][CH:14]=[CH2:15],False,0.3680292293058726,0,golden
3,CCOC(=O)CC(=O)OCC.O=[N+]([O-])C=Cc1ccc(Cl)cc1>>CCOC(=O)C(C(=O)OCC)C(C[N+](=O)[O-])c1ccc(Cl)cc1,[CH3:13][CH2:14][O:15][C:16](=[O:17])[CH2:18][C:19](=[O:20])[O:21][CH2:22][CH3:23].[Cl:1][c:2]1[cH:3][cH:4][c:5]([CH:6]=[CH:7][N+:8]([O-:9])=[O:10])[cH:11][cH:12]1>>[Cl:1][c:2]1[cH:3][cH:4][c:5]([CH:6]([CH2:7][N+:8]([O-:9])=[O:10])[CH:18]([C:16]([O:15][CH2:14][CH3:13])=[O:17])[C:19](=[O:20])[O:21][CH2:22][CH3:23])[cH:11][cH:12]1,[CH3:13][CH2:14][O:15][C:16](=[O:17])[CH2:18][C:19](=[O:20])[O:21][CH2:22][CH3:23].[Cl:1][c:2]1[cH:3][cH:4][c:5]([CH:6]=[CH:7][N+:8]([O-:9])=[O:10])[cH:11][cH:12]1>>[Cl:1][c:2]1[cH:3][cH:4][c:5]([CH:6]([CH2:7][N+:8]([O-:9])=[O:10])[CH:18]([C:16]([O:15][CH2:14][CH3:13])=[O:17])[C:19](=[O:20])[O:21][CH2:22][CH3:23])[cH:11][cH:12]1,[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][C:7](=[O:8])[O:9][CH2:10][CH3:11].[CH:12](=[CH:13][N+:14](=[O:15])[O-:16])[c:17]1[cH:18][cH:19][c:20]([Cl:21])[cH:22][cH:23]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]([C:7](=[O:8])[O:9][CH2:10][CH3:11])[CH:12]([CH2:13][N+:14](=[O:15])[O-:16])[c:17]1[cH:18][cH:19][c:20]([Cl:21])[cH:22][cH:23]1,[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][C:7](=[O:8])[O:9][CH2:10][CH3:11].[cH:19]1[cH:18][c:17]([cH:23][cH:22][c:20]1[Cl:21])[CH:16]=[CH:15][N+:13](=[O:12])[O-:14]>>[C:4](=[O:5])([O:3][CH2:2][CH3:1])[CH:6]([C:7](=[O:8])[O:9][CH2:10][CH3:11])[CH:16]([CH2:15][N+:13](=[O:14])[O-:12])[c:17]1[cH:18][cH:19][c:20]([cH:22][cH:23]1)[Cl:21],True,0.8951718507459995,0,golden
4,CN(CC#Cc1ccsc1)c1ccccc1.O>>CN(C(=CC=O)c1ccsc1)c1ccccc1,[CH3:1][N:2]([CH2:3][C:4]#[C:5][c:6]1[cH:7][cH:8][s:9][cH:10]1)[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1.[OH2:17]>>[CH3:1][N:2]([C:5](=[CH:4][CH:3]=[O:17])[c:6]1[cH:7][cH:8][s:9][cH:10]1)[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,[CH3:1][N:2]([CH2:3][C:4]#[C:5][c:6]1[cH:7][cH:8][s:9][cH:10]1)[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1.[OH2:17]>>[CH3:1][N:2]([C:5](=[CH:4][CH:3]=[O:17])[c:6]1[cH:7][cH:8][s:9][cH:10]1)[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,[CH3:1][N:2]([CH2:3][C:4]#[C:5][c:7]1[cH:8][cH:9][s:10][cH:11]1)[c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1.[OH2:6]>>[CH3:1][N:2]([C:3](=[CH:4][CH:5]=[O:6])[c:7]1[cH:8][cH:9][s:10][cH:11]1)[c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,[OH2:17].[cH:12]1[cH:13][cH:14][cH:15][cH:16][c:11]1[N:2]([CH3:1])[CH2:3][C:4]#[C:5][c:6]2[cH:10][s:9][cH:8][cH:7]2>>[cH:12]1[cH:13][cH:14][cH:15][cH:16][c:11]1[N:2]([CH3:1])[C:5](=[CH:4][CH:3]=[O:17])[c:6]2[cH:10][s:9][cH:8][cH:7]2,False,0.8880212274505813,0,golden
5,COC(=O)c1ccc(C=C2CC2)cc1>>COC(=O)c1ccc(C2=CCC2)cc1,[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([CH:9]=[C:10]2[CH2:11][CH2:12]2)[cH:13][cH:14]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([C:9]2=[CH:12][CH2:11][CH2:10]2)[cH:13][cH:14]1,[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([CH:9]=[C:12]2[CH2:11][CH2:10]2)[cH:13][cH:14]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([C:9]2=[CH:12][CH2:11][CH2:10]2)[cH:13][cH:14]1,[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([CH:9]=[C:10]2[CH2:11][CH2:12]2)[cH:13][cH:14]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([C:9]2=[CH:10][CH2:11][CH2:12]2)[cH:13][cH:14]1,[cH:6]1[cH:7][c:8]([cH:13][cH:14][c:5]1[C:3]([O:2][CH3:1])=[O:4])[CH:9]=[C:10]2[CH2:11][CH2:12]2>>[cH:7]1[cH:6][c:5]([cH:14][cH:13][c:8]1[C:10]=2[CH2:12][CH2:11][CH:9]=2)[C:3](=[O:4])[O:2][CH3:1],False,0.7323456332970246,0,golden
6,[N-]=[N+]=Nc1ccccc1[N+](=O)[O-]>>[O-][n+]1onc2ccccc21,[O:1]=[N+:2]([O-:3])[c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[N:10]=[N+:11]=[N-:12]>>[O-:1][n+:2]1[o:3][n:10][c:9]2[c:4]1[cH:5][cH:6][cH:7][cH:8]2,[O:1]=[N+:10]([O-:3])[c:9]1[cH:8][cH:7][cH:6][cH:5][c:4]1[N:2]=[N+]=[N-]>>[O-:1][n+:2]1[o:3][n:10][c:9]2[c:4]1[cH:5][cH:6][cH:7][cH:8]2,[N-]=[N+]=[N:2][c:10]1[c:5]([N+:4](=[O:1])[O-:3])[cH:6][cH:7][cH:8][cH:9]1>>[O-:1][n+:2]1[o:3][n:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]12,[N+:10](=[O:11])([c:9]1[c:4]([N:3]=[N+:2]=[N-:1])[cH:5][cH:6][cH:7][cH:8]1)[O-:12]>>[n:3]1[o:11][n+:10]([c:9]2[cH:8][cH:7][cH:6][cH:5][c:4]12)[O-:12],False,0.4098099525734069,0,golden
7,CC(C=Cc1ccc(Br)cc1)OC(N)=O.CO>>CC=CC(NC(=O)OC)c1ccc(Br)cc1,[CH3:1][OH:2].[CH3:3][CH:4]([O:5][C:6]([NH2:7])=[O:8])[CH:9]=[CH:10][c:11]1[cH:12][cH:13][c:14]([Br:15])[cH:16][cH:17]1>>[CH3:1][O:2][C:6]([NH:7][CH:10]([CH:9]=[CH:4][CH3:3])[c:11]1[cH:12][cH:13][c:14]([Br:15])[cH:16][cH:17]1)=[O:8],[CH3:1][OH:2].[CH3:3][CH:4](O[C:6]([NH2:7])=[O:8])[CH:9]=[CH:10][c:11]1[cH:12][cH:13][c:14]([Br:15])[cH:16][cH:17]1>>[CH3:1][O:2][C:6]([NH:7][CH:10]([CH:9]=[CH:4][CH3:3])[c:11]1[cH:12][cH:13][c:14]([Br:15])[cH:16][cH:17]1)=[O:8],O([CH:2]([CH3:1])[CH:3]=[CH:4][c:10]1[cH:11][cH:12][c:13]([Br:14])[cH:15][cH:16]1)[C:6]([NH2:5])=[O:7].[OH:8][CH3:9]>>[CH3:1][CH:2]=[CH:3][CH:4]([NH:5][C:6](=[O:7])[O:8][CH3:9])[c:10]1[cH:11][cH:12][c:13]([Br:14])[cH:15][cH:16]1,[CH3:16][OH:17].[cH:6]1[cH:7][c:8]([cH:10][cH:11][c:5]1[CH:4]=[CH:3][CH:2]([CH3:1])[O:12][C:13](=[O:15])[NH2:14])[Br:9]>>[cH:7]1[cH:6][c:5]([cH:11][cH:10][c:8]1[Br:9])[CH:4]([NH:14][C:13](=[O:15])[O:17][CH3:16])[CH:3]=[CH:2][CH3:1],False,0.916784859901694,0,golden
8,C=C(C)CCO.CC(=O)c1ccccc1>>CC1=CCOC(C)(c2ccccc2)C1,[CH2:10]=[C:11]([CH3:12])[CH2:13][CH2:14][OH:15].[CH3:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1>>[CH3:1][C:2]1([c:4]2[cH:5][cH:6][cH:7][cH:8][cH:9]2)[CH2:10][C:11]([CH3:12])=[CH:13][CH2:14][O:15]1,[CH2:10]=[C:11]([CH3:12])[CH2:13][CH2:14][OH:15].[CH3:1][C:2](=O)[c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1>>[CH3:1][C:2]1([c:4]2[cH:5][cH:6][cH:7][cH:8][cH:9]2)[CH2:10][C:11]([CH3:12])=[CH:13][CH2:14][O:15]1,O[CH2:4][CH2:3][C:2]([CH3:1])=[CH2:14].[O:5]=[C:6]([CH3:7])[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>>[CH3:1][C:2]1=[CH:3][CH2:4][O:5][C:6]([CH3:7])([c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[CH2:14]1,[CH2:5]([CH2:4][C:2]([CH3:1])=[CH2:3])[OH:6].[cH:12]1[cH:11][c:10]([cH:15][cH:14][cH:13]1)[C:8]([CH3:7])=[O:9]>>[cH:11]1[cH:12][cH:13][cH:14][cH:15][c:10]1[C:8]2([CH2:3][C:2]([CH3:1])=[CH:4][CH2:5][O:6]2)[CH3:7],False,0.781852387848729,0,golden
9,CCOC(=O)Cc1csc(-c2ccc(C(CC)(CC)c3ccc(C=CC(O)(C(F)(F)F)C(F)(F)F)c(C)c3)cc2C)n1.O>>CCC(CC)(c1ccc(C=CC(O)(C(F)(F)F)C(F)(F)F)c(C)c1)c1ccc(-c2nc(CC(=O)O)cs2)c(C)c1,[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][s:10][c:11](-[c:13]2[cH:14][cH:15][c:16]([C:20]([CH2:21][CH3:22])([CH2:23][CH3:24])[c:25]3[cH:26][cH:27][c:28]([CH:29]=[CH:30][C:31]([OH:32])([C:33]([F:34])([F:35])[F:36])[C:37]([F:38])([F:39])[F:40])[c:41]([CH3:42])[cH:43]3)[cH:17][c:18]2[CH3:19])[n:12]1.[OH2:1]>>[OH:1][C:5](=[O:6])[CH2:7][c:8]1[cH:9][s:10][c:11](-[c:13]2[cH:14][cH:15][c:16]([C:20]([CH2:21][CH3:22])([CH2:23][CH3:24])[c:25]3[cH:26][cH:27][c:28]([CH:29]=[CH:30][C:31]([OH:32])([C:33]([F:34])([F:35])[F:36])[C:37]([F:38])([F:39])[F:40])[c:41]([CH3:42])[cH:43]3)[cH:17][c:18]2[CH3:19])[n:12]1,CCO[C:5](=[O:6])[CH2:7][c:8]1[cH:9][s:10][c:11](-[c:13]2[cH:14][cH:15][c:16]([C:20]([CH2:21][CH3:22])([CH2:23][CH3:24])[c:25]3[cH:26][cH:27][c:28]([CH:29]=[CH:30][C:31]([OH:32])([C:33]([F:34])([F:35])[F:36])[C:37]([F:38])([F:39])[F:40])[c:41]([CH3:42])[cH:43]3)[cH:17][c:18]2[CH3:19])[n:12]1.[OH2:1]>>[OH:1][C:5](=[O:6])[CH2:7][c:8]1[cH:9][s:10][c:11](-[c:13]2[cH:14][cH:15][c:16]([C:20]([CH2:21][CH3:22])([CH2:23][CH3:24])[c:25]3[cH:26][cH:27][c:28]([CH:29]=[CH:30][C:31]([OH:32])([C:33]([F:34])([F:35])[F:36])[C:37]([F:38])([F:39])[F:40])[c:41]([CH3:42])[cH:43]3)[cH:17][c:18]2[CH3:19])[n:12]1,CC[O:35][C:33]([CH2:32][c:31]1[n:30][c:29](-[c:28]2[cH:27][cH:26][c:25]([C:3]([CH2:2][CH3:1])([CH2:4][CH3:5])[c:6]3[cH:7][cH:8][c:9]([CH:10]=[CH:11][C:12]([OH:13])([C:14]([F:15])([F:16])[F:17])[C:18]([F:19])([F:20])[F:21])[c:22]([CH3:23])[cH:24]3)[cH:40][c:38]2[CH3:39])[s:37][cH:36]1)=[O:34].O>>[CH3:1][CH2:2][C:3]([CH2:4][CH3:5])([c:6]1[cH:7][cH:8][c:9]([CH:10]=[CH:11][C:12]([OH:13])([C:14]([F:15])([F:16])[F:17])[C:18]([F:19])([F:20])[F:21])[c:22]([CH3:23])[cH:24]1)[c:25]1[cH:26][cH:27][c:28](-[c:29]2[n:30][c:31]([CH2:32][C:33](=[O:34])[OH:35])[cH:36][s:37]2)[c:38]([CH3:39])[cH:40]1,[F:29][C:28]([F:30])([F:31])[C:26]([C:32]([F:33])([F:35])[F:34])([OH:27])[CH:25]=[CH:24][c:23]1[cH:22][cH:21][c:20]([C:15]([CH2:16][CH3:17])([CH2:18][CH3:19])[c:14]2[cH:39][c:40]([c:11]([cH:12][cH:13]2)-[c:10]3[s:9][cH:8][c:7]([CH2:6][C:4](=[O:5])[O:3][CH2:2][CH3:1])[n:42]3)[CH3:41])[cH:38][c:36]1[CH3:37].[OH2:43]>>[F:29][C:28]([F:30])([F:31])[C:26]([C:32]([F:33])([F:35])[F:34])([OH:27])[CH:25]=[CH:24][c:23]1[cH:22][cH:21][c:20]([C:15]([CH2:16][CH3:17])([CH2:18][CH3:19])[c:14]2[cH:13][cH:12][c:11]([c:40]([cH:39]2)[CH3:41])-[c:10]3[s:9][cH:8][c:7]([CH2:6][C:4](=[O:5])[OH:43])[n:42]3)[cH:38][c:36]1[CH3:37],True,0.0882573186129062,0,golden
