reaction,mapped_reaction
C=CCOc1ccccc1>>Oc1ccccc1CC=C,[CH2:1]=[CH:2][CH2:3][O:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1>>[OH:4][c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[CH2:1][CH:2]=[CH2:3]
C\C=C\CC\C=C\C>>CC(C=C)C(C)C=C,[CH3:1]\[CH:2]=[CH:3]\[CH2:4][CH2:5]\[CH:6]=[CH:7]\[CH3:8]>>[CH3:1][CH:2]([CH:3]=[CH2:4])[CH:7]([CH3:8])[CH:6]=[CH2:5]
CCCC[Sn](CCCC)(CCCC)CO[C@@H]1C[C@H](C=C1)N(CC=C)C(=O)OC(C)(C)C>>CC(C)(C)OC(=O)N(CC=C)[C@@H]1CC=C[C@H]1CO.CCCC[SnH](CCCC)CCCC,[CH3:1][CH2:2][CH2:3][CH2:4][Sn:5]([CH2:6][CH2:7][CH2:8][CH3:9])([CH2:10][CH2:11][CH2:12][CH3:13])[CH2:14][O:15][C@@H:16]1[CH2:17][C@H:18]([CH:19]=[CH:20]1)[N:21]([CH2:22][CH:23]=[CH2:24])[C:25](=[O:26])[O:27][C:28]([CH3:29])([CH3:30])[CH3:31]>>[CH3:1][CH2:2][CH2:3][CH2:4][SnH:5]([CH2:10][CH2:11][CH2:12][CH3:13])[CH2:6][CH2:7][CH2:8][CH3:9].[CH3:31][C:28]([CH3:30])([CH3:29])[O:27][C:25](=[O:26])[N:21]([CH2:22][CH:23]=[CH2:24])[C@@H:18]1[CH2:17][CH:16]=[CH:20][C@H:19]1[CH2:14][OH:15]
CC(C)C1=C/C=C(C)/CC\C=C(C)\CC[C@@H](OC\1)C(C)=C>>CC(C)C1=C/C=C(C)/CC\C=C(C)\CC\C=C(C)\C[C@@H]\1O,[CH3:1][CH:2]([CH3:3])[C:4]1=[CH:5]/[CH:6]=[C:7]([CH3:8])/[CH2:9][CH2:10]\[CH:11]=[C:12]([CH3:13])\[CH2:14][CH2:15][C@@H:16]([O:17][CH2:18]\1)[C:19]([CH3:20])=[CH2:21]>>[CH3:3][CH:2]([CH3:1])[C:4]1=[CH:5]/[CH:6]=[C:7]([CH3:8])/[CH2:9][CH2:10]\[CH:11]=[C:12]([CH3:13])\[CH2:14][CH2:15]\[CH:16]=[C:19]([CH3:20])\[CH2:21][C@@H:18]\1[OH:17]
CC(C)(C)[Si](C)(C)O[C@H]1[C@H](OCc2ccccc2)OCC1(C)C>>CC(C)(C)[Si](C)(C)O[C@H]1[C@@H](OCC1(C)C)[C@@H](O)c1ccccc1,[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([CH3:6])([CH3:7])[O:8][C@H:9]1[C@H:10]([O:11][CH2:12][c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[O:19][CH2:20][C:21]1([CH3:22])[CH3:23]>>[CH3:4][C:2]([CH3:3])([CH3:1])[Si:5]([CH3:7])([CH3:6])[O:8][C@H:9]1[C@@H:10]([O:19][CH2:20][C:21]1([CH3:22])[CH3:23])[C@@H:12]([OH:11])[c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1
CS(=O)c1ccc(Cl)cc1.FC(F)(F)C(=O)OC(=O)C(F)(F)F>>FC(F)(F)C(=O)OCSc1ccc(Cl)cc1.OC(=O)C(F)(F)F,[CH3:1][S:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]([Cl:8])[cH:9][cH:10]1.[F:11][C:12]([F:13])([F:14])[C:15](=[O:16])[O:17][C:18](=[O:19])[C:20]([F:21])([F:22])[F:23]>>[F:11][C:12]([F:13])([F:14])[C:15](=[O:16])[O:17][CH2:1][S:2][c:4]1[cH:10][cH:9][c:7]([Cl:8])[cH:6][cH:5]1.[OH:3][C:18](=[O:19])[C:20]([F:21])([F:22])[F:23]
CCC1(C\C=C(/C)COC=C)OCCO1>>CCC1(CC(CC=O)C(C)=C)OCCO1,[CH3:1][CH2:2][C:3]1([CH2:4]\[CH:5]=[C:6](/[CH3:7])[CH2:8][O:9][CH:10]=[CH2:11])[O:12][CH2:13][CH2:14][O:15]1>>[CH3:1][CH2:2][C:3]1([CH2:4][CH:5]([CH2:11][CH:10]=[O:9])[C:6]([CH3:7])=[CH2:8])[O:15][CH2:14][CH2:13][O:12]1
OC1(C=CC(=O)C=C1)C#Cc1ccccc1.C=C1CC(=O)O1>>CC(=O)Cc1cc(ccc1O)C#Cc1ccccc1.O=C=O,[CH2:1]=[C:2]1[CH2:3][C:4](=[O:5])[O:6]1.[OH:7][C:8]1([CH:9]=[CH:10][C:11](=[O:12])[CH:13]=[CH:14]1)[C:15]#[C:16][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1>>[O:5]=[C:4]=[O:7].[CH3:1][C:2](=[O:6])[CH2:3][c:10]1[cH:9][c:8]([cH:14][cH:13][c:11]1[OH:12])[C:15]#[C:16][c:17]1[cH:22][cH:21][cH:20][cH:19][cH:18]1
OC1(C=CC(=O)C=C1)C#Cc1ccccc1.C=C1CC(=O)O1>>CC(=O)Cc1cc(ccc1O)C#Cc1ccccc1,[CH2:1]=[C:2]1[CH2:3][C:4](=[O:5])[O:6]1.[OH:7][C:8]1([CH:9]=[CH:10][C:11](=[O:12])[CH:13]=[CH:14]1)[C:15]#[C:16][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1>>[CH3:1][C:2](=[O:6])[CH2:3][c:10]1[cH:9][c:8]([cH:14][cH:13][c:11]1[OH:12])[C:15]#[C:16][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1.[C:4].[O:5].[O:7]
OC(CC=C)C=C>>C=CCCCC=O,[OH:1][CH:2]([CH2:3][CH:4]=[CH2:5])[CH:6]=[CH2:7]>>[CH2:3]=[CH:4][CH2:5][CH2:7][CH2:6][CH:2]=[O:1]
CC#CC(O)=O.O=CC1=CC=CS1.CC(C)(C)[N+]#[C-].COc1ccc(CN)cc1>>COc1ccc(CN(C(C(=O)NC(C)(C)C)C2=CC=CS2)C(=O)C#CC)cc1.O,[CH3:1][C:2]#[C:3][C:4]([OH:5])=[O:6].[O:7]=[CH:8][C:9]1=[CH:10][CH:11]=[CH:12][S:13]1.[CH3:14][C:15]([CH3:16])([CH3:17])[N+:18]#[C-:19].[CH3:20][O:21][c:22]1[cH:23][cH:24][c:25]([CH2:26][NH2:27])[cH:28][cH:29]1>>[CH3:20][O:21][c:22]1[cH:23][cH:24][c:25]([CH2:26][N:27]([CH:8]([C:19](=[O:5])[NH:18][C:15]([CH3:17])([CH3:16])[CH3:14])[C:9]2=[CH:10][CH:11]=[CH:12][S:13]2)[C:4](=[O:6])[C:3]#[C:2][CH3:1])[cH:28][cH:29]1.[OH2:7]
OC(C(F)(Sc1ccccc1)F)=O.O=Cc2ccccc2.[C-]#[N+]c3ccccc3.Nc4ccccc4>>FC(Sc5ccccc5)(C(N(c6ccccc6)C(c7ccccc7)C(Nc8ccccc8)=O)=O)F.O,[OH:1][C:2](=[O:13])[C:3]([F:4])([F:12])[S:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1.[O:14]=[CH:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1.[C-:22]#[N+:23][c:24]1[cH:25][cH:26][cH:27][cH:28][cH:29]1.[NH2:30][c:31]1[cH:32][cH:33][cH:34][cH:35][cH:36]1>>[F:4][C:3]([F:12])([S:5][c:6]1[cH:11][cH:10][cH:9][cH:8][cH:7]1)[C:2](=[O:13])[N:30]([CH:15]([C:22](=[O:1])[NH:23][c:24]1[cH:25][cH:26][cH:27][cH:28][cH:29]1)[c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1)[c:31]1[cH:32][cH:33][cH:34][cH:35][cH:36]1.[OH2:14]
[C-]#[N+]C1CCCC1.OC(=O)CC#N.O=CC(=O)C1=CC=CS1>>O=C(CC#N)OC(C(=O)NC1CCCC1)C(=O)C1=CC=CS1,[C-:1]#[N+:2][CH:3]1[CH2:4][CH2:5][CH2:6][CH2:7]1.[OH:8][C:9](=[O:10])[CH2:11][C:12]#[N:13].[O:14]=[CH:15][C:16](=[O:17])[C:18]1=[CH:19][CH:20]=[CH:21][S:22]1>>[O:10]=[C:9]([CH2:11][C:12]#[N:13])[O:14][CH:15]([C:1](=[O:8])[NH:2][CH:3]1[CH2:4][CH2:5][CH2:6][CH2:7]1)[C:16](=[O:17])[C:18]1=[CH:19][CH:20]=[CH:21][S:22]1
