reaction,mapped_reaction
CC1CCCN1CCc1ccc2cc(ccc2c1)C(O)c1cccc(F)c1>>CC1CCCN1CCc1ccc2cc(ccc2c1)C(=O)c1cccc(F)c1,[CH3:1][CH:2]1[CH2:3][CH2:4][CH2:5][N:6]1[CH2:7][CH2:8][c:9]1[cH:10][cH:11][c:12]2[cH:13][c:14]([cH:15][cH:16][c:17]2[cH:18]1)[CH:19]([OH:20])[c:21]1[cH:22][cH:23][cH:24][c:25]([F:26])[cH:27]1>>[CH3:1][CH:2]1[CH2:3][CH2:4][CH2:5][N:6]1[CH2:7][CH2:8][c:9]1[cH:10][cH:11][c:12]2[cH:13][c:14]([cH:15][cH:16][c:17]2[cH:18]1)[C:19](=[O:20])[c:21]1[cH:22][cH:23][cH:24][c:25]([F:26])[cH:27]1
CCOC(=O)C(C)(C)Oc1ccc(C)nc1.O>>Cc1ccc(OC(C)(C)C(O)=O)cn1,[CH3:2][CH2:3][O:4][C:5](=[O:6])[C:7]([CH3:8])([CH3:9])[O:10][c:11]1[cH:12][cH:13][c:14]([CH3:15])[n:16][cH:17]1.[OH2:1]>>[CH3:15][c:14]1[cH:13][cH:12][c:11]([O:10][C:7]([CH3:8])([CH3:9])[C:5]([OH:1])=[O:6])[cH:17][n:16]1.[CH3:2][CH2:3][OH:4]
COC(=O)c1cc(NS(=O)(=O)c2ccc(cn2)C(C)C)c(Oc2ccccc2OC)c(OCCOC2CCCCO2)c1>>COC(=O)c1cc(NS(=O)(=O)c2ccc(cn2)C(C)C)c(Oc2ccccc2OC)c(OCCO)c1,[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([NH:8][S:9](=[O:10])(=[O:11])[c:12]2[cH:13][cH:14][c:15]([cH:16][n:17]2)[CH:18]([CH3:19])[CH3:20])[c:21]([O:22][c:23]2[cH:24][cH:25][cH:26][cH:27][c:28]2[O:29][CH3:30])[c:31]([O:32][CH2:33][CH2:34][O:35][CH:36]2[CH2:37][CH2:38][CH2:39][CH2:40][O:41]2)[cH:42]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([NH:8][S:9](=[O:10])(=[O:11])[c:12]2[cH:13][cH:14][c:15]([cH:16][n:17]2)[CH:18]([CH3:20])[CH3:19])[c:21]([O:22][c:23]2[cH:24][cH:25][cH:26][cH:27][c:28]2[O:29][CH3:30])[c:31]([O:32][CH2:33][CH2:34][OH:35])[cH:42]1.[C:39].[C:38].[C:36].[C:37].[C:40].[O:41]
CCOC(=O)CCN(C)C(=O)c1ccc(NC(C(CC)CC)c2oc3ccc(F)cc3c2C)cc1.O>>CCC(CC)C(Nc1ccc(cc1)C(=O)N(C)CCC(O)=O)c1oc2ccc(F)cc2c1C,[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][CH2:8][N:9]([CH3:10])[C:11](=[O:12])[c:13]1[cH:14][cH:15][c:16]([NH:17][CH:18]([CH:19]([CH2:20][CH3:21])[CH2:22][CH3:23])[c:24]2[o:25][c:26]3[cH:27][cH:28][c:29]([F:30])[cH:31][c:32]3[c:33]2[CH3:34])[cH:35][cH:36]1.[OH2:1]>>[CH3:21][CH2:20][CH:19]([CH2:22][CH3:23])[CH:18]([NH:17][c:16]1[cH:15][cH:14][c:13]([cH:36][cH:35]1)[C:11](=[O:12])[N:9]([CH3:10])[CH2:8][CH2:7][C:5]([OH:1])=[O:6])[c:24]1[o:25][c:26]2[cH:27][cH:28][c:29]([F:30])[cH:31][c:32]2[c:33]1[CH3:34].[CH3:2][CH2:3][OH:4]
COC(=O)C(CC(C)C)NCc1ccc(Br)cc1.O>>CC(C)CC(NCc1ccc(Br)cc1)C(O)=O,[CH3:2][O:3][C:4](=[O:5])[CH:6]([CH2:7][CH:8]([CH3:9])[CH3:10])[NH:11][CH2:12][c:13]1[cH:14][cH:15][c:16]([Br:17])[cH:18][cH:19]1.[OH2:1]>>[CH3:9][CH:8]([CH3:10])[CH2:7][CH:6]([NH:11][CH2:12][c:13]1[cH:14][cH:15][c:16]([Br:17])[cH:18][cH:19]1)[C:4]([OH:1])=[O:5].[CH3:2][OH:3]
COc1ccc2c(OCCn3cc(ccc3=O)C3OCCC=C3)ccnc2c1>>COc1ccc2c(OCCn3cc(ccc3=O)C3CCCCO3)ccnc2c1,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([O:8][CH2:9][CH2:10][n:11]3[cH:12][c:13]([cH:14][cH:15][c:16]3=[O:17])[CH:18]3[O:19][CH2:20][CH2:21][CH:22]=[CH:23]3)[cH:24][cH:25][n:26][c:27]2[cH:28]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([O:8][CH2:9][CH2:10][n:11]3[cH:12][c:13]([cH:14][cH:15][c:16]3=[O:17])[CH:18]3[CH2:23][CH2:22][CH2:21][CH2:20][O:19]3)[cH:24][cH:25][n:26][c:27]2[cH:28]1
CC(C)(C)OC(=O)NC1CCN(N=C2CCN(CC2)c2ccncc2)C1=O>>CC(C)(C)OC(=O)NC1CCN(NC2CCN(CC2)c2ccncc2)C1=O,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH:9]1[CH2:10][CH2:11][N:12]([N:13]=[C:14]2[CH2:15][CH2:16][N:17]([CH2:18][CH2:19]2)[c:20]2[cH:21][cH:22][n:23][cH:24][cH:25]2)[C:26]1=[O:27]>>[CH3:4][C:2]([CH3:3])([CH3:1])[O:5][C:6](=[O:7])[NH:8][CH:9]1[CH2:10][CH2:11][N:12]([NH:13][CH:14]2[CH2:19][CH2:18][N:17]([CH2:16][CH2:15]2)[c:20]2[cH:25][cH:24][n:23][cH:22][cH:21]2)[C:26]1=[O:27]
O.COC(=O)CC1Nc2ccc(cc2CN(C)C1=O)C(=O)NCc1cc2ccccc2[nH]1>>CN1Cc2cc(ccc2NC(CC(O)=O)C1=O)C(=O)NCc1cc2ccccc2[nH]1,[CH3:2][O:3][C:4](=[O:5])[CH2:6][CH:7]1[NH:8][c:9]2[cH:10][cH:11][c:12]([cH:13][c:14]2[CH2:15][N:16]([CH3:17])[C:18]1=[O:19])[C:20](=[O:21])[NH:22][CH2:23][c:24]1[cH:25][c:26]2[cH:27][cH:28][cH:29][cH:30][c:31]2[nH:32]1.[OH2:1]>>[CH3:17][N:16]1[CH2:15][c:14]2[cH:13][c:12]([cH:11][cH:10][c:9]2[NH:8][CH:7]([CH2:6][C:4]([OH:1])=[O:5])[C:18]1=[O:19])[C:20](=[O:21])[NH:22][CH2:23][c:24]1[cH:25][c:26]2[cH:27][cH:28][cH:29][cH:30][c:31]2[nH:32]1.[CH3:2][OH:3]
CCOC(=O)c1cn(C2CC2)c2c(F)c(F)c(F)c(C)c2c1=O.O>>Cc1c(F)c(F)c(F)c2n(cc(C(O)=O)c(=O)c12)C1CC1,[CH3:2][CH2:3][O:4][C:5](=[O:6])[c:7]1[cH:8][n:9]([CH:10]2[CH2:11][CH2:12]2)[c:13]2[c:14]([F:15])[c:16]([F:17])[c:18]([F:19])[c:20]([CH3:21])[c:22]2[c:23]1=[O:24].[OH2:1]>>[CH3:21][c:20]1[c:18]([F:19])[c:16]([F:17])[c:14]([F:15])[c:13]2[n:9]([cH:8][c:7]([C:5]([OH:1])=[O:6])[c:23](=[O:24])[c:22]12)[CH:10]1[CH2:11][CH2:12]1.[CH3:2][CH2:3][OH:4]
COc1ccc2c(C(=O)c3ccc(OCCN4CCCCC4)cc3)c(ccc2c1)-c1cc(F)ccc1F>>Oc1ccc2c(C(=O)c3ccc(OCCN4CCCCC4)cc3)c(ccc2c1)-c1cc(F)ccc1F,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([C:8](=[O:9])[c:10]3[cH:11][cH:12][c:13]([O:14][CH2:15][CH2:16][N:17]4[CH2:18][CH2:19][CH2:20][CH2:21][CH2:22]4)[cH:23][cH:24]3)[c:25]([cH:26][cH:27][c:28]2[cH:29]1)-[c:30]1[cH:31][c:32]([F:33])[cH:34][cH:35][c:36]1[F:37]>>[OH:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([C:8](=[O:9])[c:10]3[cH:24][cH:23][c:13]([O:14][CH2:15][CH2:16][N:17]4[CH2:22][CH2:21][CH2:20][CH2:19][CH2:18]4)[cH:12][cH:11]3)[c:25]([cH:26][cH:27][c:28]2[cH:29]1)-[c:30]1[cH:31][c:32]([F:33])[cH:34][cH:35][c:36]1[F:37].[C:1]
