reaction,mapped_reaction
[H][Si](CC)(CC)CC.COC(CCC(Cl)=O)=O>>COC(CCC=O)=O.Cl[Si](CC)(CC)CC,[#6:3]-[#6:2]-[#14:1](-[#6:4]-[#6:5])-[#6:6]-[#6:7].[#6:8]-[#8:9]-[#6:10](=[O:16])-[#6:11]-[#6:12]-[#6:13]([Cl:14])=[O:15]>>[#6:8]-[#8:9]-[#6:10](=[O:16])-[#6:11]-[#6:12]-[#6:13]=[O:15].[#6:3]-[#6:2][Si:1]([Cl:14])([#6:4]-[#6:5])[#6:6]-[#6:7]
OO.OO.COC1=CC=CC(C=O)=C1O>>COC2=C(C(O)=CC=C2)O.O=C=O.O.O,[#8:1]-[#8:2].[#8:3]-[#8:4].[#6:5]-[#8:6]-[#6:7]-1=[#6:8]-[#6:9]=[#6:10]-[#6:11](-[#6:12]=[O:13])=[#6:14]-1-[#8:15]>>[#6:5]-[#8:6]-[#6:7]-1=[#6:14](-[#8:15])-[#6:11](-[#8:2])=[#6:10]-[#6:9]=[#6:8]-1.[O:13]=[C:12]=[O:1].[#8:4].[#8:3]
O=N(C1=CC=CC=C1N=N#N)=O>>[O-][N+]2=C3C=CC=CC3=NO2.N#N,[O:1]=[N:2](=[O:12])[#6:3]-1=[#6:4]-[#6:5]=[#6:6]-[#6:7]=[#6:8]-1-[#7:9]=[N+:10]=[N-:11]>>[#8-:12]-[#7+:2]-1=[#6:3]-2-[#6:4]=[#6:5]-[#6:6]=[#6:7]-[#6:8]-2=[#7:9]-[#8:1]-1.[N:11]#[N:10]
NC1=CC=CC=C1Br.BrC2=CC=C(C=C2)C(Cl)=O>>BrC3=CC=C(C=C3)C(NC4=CC=CC=C4Br)=O.[H+].[Cl-],[#7:1]-[#6:2]-1=[#6:3]-[#6:4]=[#6:5]-[#6:6]=[#6:7]-1[Br:8].[Cl:17][#6:16](=[O:18])-[#6:13]-1=[#6:12]-[#6:11]=[#6:10]([Br:9])-[#6:15]=[#6:14]-1>>[Br:9][#6:10]-1=[#6:11]-[#6:12]=[#6:13](-[#6:14]=[#6:15]-1)-[#6:16](=[O:18])-[#7:1]-[#6:2]-1=[#6:3]-[#6:4]=[#6:5]-[#6:6]=[#6:7]-1[Br:8].[Cl-:17]
S[H].CC1=CC=C(N(=O)=O)C=C1>>NC2=CC=C(C=C2)C=O.O.[S],[#16:1].[#6:2]-[#6:3]-1=[#6:4]-[#6:5]=[#6:6](-[#6:10]=[#6:11]-1)[N:7](=[O:8])=[O:9]>>[#7:7]-[#6:6]-1=[#6:10]-[#6:11]=[#6:3](-[#6:2]=[O:8])-[#6:4]=[#6:5]-1.[#8:9].[#16:1]
OCCCCCO.CC(OC(C)=O)=O.CC(OC(C)=O)=O>>CC(OCCCCCOC(C)=O)=O.CC(O)=O.CC(O)=O,[#8:1]-[#6:2]-[#6:3]-[#6:4]-[#6:5]-[#6:6]-[#8:7].[#6:8]-[#6:9](=[O:14])-[#8:10]-[#6:11](-[#6:12])=[O:13].[#6:15]-[#6:16](=[O:21])-[#8:17]-[#6:18](-[#6:19])=[O:20]>>[#6:19]-[#6:18](=[O:20])-[#8:7]-[#6:6]-[#6:5]-[#6:4]-[#6:3]-[#6:2]-[#8:1]-[#6:11](-[#6:12])=[O:13].[#6:8]-[#6:9](-[#8:10])=[O:14].[#6:15]-[#6:16](-[#8:17])=[O:21]
CC(OCCCCCOC(C)=O)=O>>CC(O)=O.C=CCC=C.OC(C)=O,[CH3:1][C:2](=[O:13])[O:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][O:9][C:10](=[O:12])[CH3:11]>>[CH3:1][C:2](=[O:13])[OH:3].[CH3:11][C:10](=[O:12])[OH:9].[CH2:4]=[CH:5][CH2:6][CH:7]=[CH2:8]
CC(OCC)Cl.BrBr>>BrC(OCC)CBr.Cl,[#6:5]-[#6:4]-[#8:3]-[#6:2](-[#6:1])[Cl:6].[Br:7][Br:8]>>[#6:5]-[#6:4]-[#8:3]-[#6:2]([Br:7])-[#6:1][Br:8].[Cl:6]
CCN(CC)CC.ClC(C1=CC=CC=C1I)=O.NC2=CC=CC=C2>>IC3=C(C(NC4=CC=CC=C4)=O)C=CC=C3.CC[NH+](CC)CC.[Cl-],[#6:1]-[#6:2]-[#7:3](-[#6:4]-[#6:5])-[#6:6]-[#6:7].[Cl:8][#6:9](=[O:17])-[#6:10]-1=[#6:11]-[#6:12]=[#6:13]-[#6:14]=[#6:15]-1[I:16].[#7:18]-[#6:19]-1=[#6:20]-[#6:21]=[#6:22]-[#6:23]=[#6:24]-1>>[I:16][#6:15]-1=[#6:10](-[#6:11]=[#6:12]-[#6:13]=[#6:14]-1)-[#6:9](=[O:17])-[#7:18]-[#6:19]-1=[#6:20]-[#6:21]=[#6:22]-[#6:23]=[#6:24]-1.[#6:7]-[#6:6]-[#7+:3](-[#6:4]-[#6:5])-[#6:2]-[#6:1].[Cl-:8]
NN.ClS(=O)(C1=CC=C(C)C=C1)=O>>NNS(=O)(C2=CC=C(C)C=C2)=O.Cl,[NH2:1][NH2:2].[CH3:10][C:9]1=[CH:8][CH:7]=[C:6]([CH:12]=[CH:11]1)[S:4]([Cl:3])(=[O:5])=[O:13]>>[CH3:10][C:9]1=[CH:11][CH:12]=[C:6]([CH:7]=[CH:8]1)[S:4](=[O:5])(=[O:13])[NH:1][NH2:2].[ClH:3]
