mapped_rxn,template
[CH3:1][CH:2]1[CH2:3][CH2:4][CH2:5][N:6]1[CH2:7][CH2:8][c:9]1[cH:10][cH:11][c:12]2[cH:13][c:14]([CH:19]([OH:20])[c:21]3[cH:22][cH:23][cH:24][c:25]([F:26])[cH:27]3)[cH:15][cH:16][c:17]2[cH:18]1>>[CH3:1][CH:2]1[CH2:3][CH2:4][CH2:5][N:6]1[CH2:7][CH2:8][c:9]1[cH:10][cH:11][c:12]2[cH:13][c:14]([cH:15][cH:16][c:17]2[cH:18]1)[C:19](=[O:20])[c:21]1[cH:22][cH:23][cH:24][c:25]([F:26])[cH:27]1,[C:1]-[O:2]>>[C:1]=[O:2]
CCO[C:5](=[O:6])[C:7]([CH3:8])([CH3:9])[O:10][c:11]1[cH:12][cH:13][c:14]([CH3:15])[n:16][cH:17]1.[OH2:1]>>[CH3:15][c:14]1[cH:13][cH:12][c:11]([O:10][C:7]([CH3:8])([CH3:9])[C:5]([OH:1])=[O:6])[cH:17][n:16]1,[O:1].C-C-O-[C:2]=O>>[C:2]-[O:1]
C1CCC([O:35][CH2:34][CH2:33][O:32][c:31]2[c:21]([O:22][c:23]3[cH:24][cH:25][cH:26][cH:27][c:28]3[O:29][CH3:30])[c:7]([NH:8][S:9](=[O:10])(=[O:11])[c:12]3[cH:13][cH:14][c:15]([CH:18]([CH3:19])[CH3:20])[cH:16][n:17]3)[cH:6][c:5]([C:3]([O:2][CH3:1])=[O:4])[cH:42]2)OC1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([NH:8][S:9](=[O:10])(=[O:11])[c:12]2[cH:13][cH:14][c:15]([cH:16][n:17]2)[CH:18]([CH3:20])[CH3:19])[c:21]([O:22][c:23]2[cH:24][cH:25][cH:26][cH:27][c:28]2[O:29][CH3:30])[c:31]([O:32][CH2:33][CH2:34][OH:35])[cH:42]1,[O:1]-C1-C-C-C-C-O-1>>[O:1]
CCO[C:5](=[O:6])[CH2:7][CH2:8][N:9]([CH3:10])[C:11](=[O:12])[c:13]1[cH:14][cH:15][c:16]([NH:17][CH:18]([CH:19]([CH2:20][CH3:21])[CH2:22][CH3:23])[c:24]2[o:25][c:26]3[cH:27][cH:28][c:29]([F:30])[cH:31][c:32]3[c:33]2[CH3:34])[cH:35][cH:36]1.[OH2:1]>>[CH3:21][CH2:20][CH:19]([CH2:22][CH3:23])[CH:18]([NH:17][c:16]1[cH:15][cH:14][c:13]([cH:36][cH:35]1)[C:11](=[O:12])[N:9]([CH3:10])[CH2:8][CH2:7][C:5]([OH:1])=[O:6])[c:24]1[o:25][c:26]2[cH:27][cH:28][c:29]([F:30])[cH:31][c:32]2[c:33]1[CH3:34],[O:1].C-C-O-[C:2]=O>>[C:2]-[O:1]
CO[C:4](=[O:5])[CH:6]([CH2:7][CH:8]([CH3:9])[CH3:10])[NH:11][CH2:12][c:13]1[cH:14][cH:15][c:16]([Br:17])[cH:18][cH:19]1.[OH2:1]>>[CH3:9][CH:8]([CH3:10])[CH2:7][CH:6]([NH:11][CH2:12][c:13]1[cH:14][cH:15][c:16]([Br:17])[cH:18][cH:19]1)[C:4]([OH:1])=[O:5],[O:1].C-O-[C:2]=O>>[C:2]-[O:1]
[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([O:8][CH2:9][CH2:10][n:11]3[cH:12][c:13]([CH:18]4[O:19][CH2:20][CH2:21][CH:22]=[CH:23]4)[cH:14][cH:15][c:16]3=[O:17])[cH:24][cH:25][n:26][c:27]2[cH:28]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([O:8][CH2:9][CH2:10][n:11]3[cH:12][c:13]([cH:14][cH:15][c:16]3=[O:17])[CH:18]3[CH2:23][CH2:22][CH2:21][CH2:20][O:19]3)[cH:24][cH:25][n:26][c:27]2[cH:28]1,[C:1]=[C:2]>>[C:1]-[C:2]
[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH:9]1[CH2:10][CH2:11][N:12]([N:13]=[C:14]2[CH2:15][CH2:16][N:17]([c:20]3[cH:21][cH:22][n:23][cH:24][cH:25]3)[CH2:18][CH2:19]2)[C:26]1=[O:27]>>[CH3:4][C:2]([CH3:3])([CH3:1])[O:5][C:6](=[O:7])[NH:8][CH:9]1[CH2:10][CH2:11][N:12]([NH:13][CH:14]2[CH2:19][CH2:18][N:17]([CH2:16][CH2:15]2)[c:20]2[cH:25][cH:24][n:23][cH:22][cH:21]2)[C:26]1=[O:27],[C:1]=[N:2]>>[C:1]-[N:2]
CO[C:4](=[O:5])[CH2:6][CH:7]1[NH:8][c:9]2[cH:10][cH:11][c:12]([C:20](=[O:21])[NH:22][CH2:23][c:24]3[cH:25][c:26]4[cH:27][cH:28][cH:29][cH:30][c:31]4[nH:32]3)[cH:13][c:14]2[CH2:15][N:16]([CH3:17])[C:18]1=[O:19].[OH2:1]>>[CH3:17][N:16]1[CH2:15][c:14]2[cH:13][c:12]([cH:11][cH:10][c:9]2[NH:8][CH:7]([CH2:6][C:4]([OH:1])=[O:5])[C:18]1=[O:19])[C:20](=[O:21])[NH:22][CH2:23][c:24]1[cH:25][c:26]2[cH:27][cH:28][cH:29][cH:30][c:31]2[nH:32]1,[O:1].C-O-[C:2]=O>>[C:2]-[O:1]
CCO[C:5](=[O:6])[c:7]1[cH:8][n:9]([CH:10]2[CH2:11][CH2:12]2)[c:13]2[c:14]([F:15])[c:16]([F:17])[c:18]([F:19])[c:20]([CH3:21])[c:22]2[c:23]1=[O:24].[OH2:1]>>[CH3:21][c:20]1[c:18]([F:19])[c:16]([F:17])[c:14]([F:15])[c:13]2[n:9]([cH:8][c:7]([C:5]([OH:1])=[O:6])[c:23](=[O:24])[c:22]12)[CH:10]1[CH2:11][CH2:12]1,[O:1].C-C-O-[C:2]=O>>[C:2]-[O:1]
C[O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([C:8](=[O:9])[c:10]3[cH:11][cH:12][c:13]([O:14][CH2:15][CH2:16][N:17]4[CH2:18][CH2:19][CH2:20][CH2:21][CH2:22]4)[cH:23][cH:24]3)[c:25](-[c:30]3[cH:31][c:32]([F:33])[cH:34][cH:35][c:36]3[F:37])[cH:26][cH:27][c:28]2[cH:29]1>>[OH:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([C:8](=[O:9])[c:10]3[cH:24][cH:23][c:13]([O:14][CH2:15][CH2:16][N:17]4[CH2:22][CH2:21][CH2:20][CH2:19][CH2:18]4)[cH:12][cH:11]3)[c:25]([cH:26][cH:27][c:28]2[cH:29]1)-[c:30]1[cH:31][c:32]([F:33])[cH:34][cH:35][c:36]1[F:37],C-[O:1]-c>>[O:1]
