data_idx,mapped_rxn,template
19,CC(=O)O.CC(C)(C)OC(=O)N1CC2CN(C(=O)c3ccccc3-c3nnc[nH]3)CC2C1.CC(C)(C)OC(=O)N1CC2CNCC2C1.O=C(O)c1ccccc1-c1nnc[nH]1.[CH3:1][c:2]1[cH:3][c:4]([CH3:5])[n:6][c:7]([N:8]2[CH2:9][CH:10]3[CH2:11][NH:12][CH2:13][CH:14]3[CH2:15]2)[n:16]1.[Na+].[O-][C:17]([c:18]1[c:19](-[n:20]2[n:21][cH:22][cH:23][n:24]2)[cH:25][cH:26][c:27]([CH3:28])[n:29]1)=[O:30]>>[CH3:1][c:2]1[cH:3][c:4]([CH3:5])[n:6][c:7]([N:8]2[CH2:9][CH:10]3[CH2:11][N:12]([C:17]([c:18]4[c:19](-[n:20]5[n:21][cH:22][cH:23][n:24]5)[cH:25][cH:26][c:27]([CH3:28])[n:29]4)=[O:30])[CH2:13][CH:14]3[CH2:15]2)[n:16]1,[N:1].O=[C:2]-[O-]>>[C:2]-[N:1]
193,CCCc1nc(C(C)(C)O)c(C(=O)OCOC(=O)C(C)(C)C)[nH]1.Cl[CH2:1][O:2][C:3]([O:4][CH:5]([CH3:6])[CH3:7])=[O:8].[CH3:9][CH2:10][CH2:11][c:12]1[n:13][c:14]([C:15]([CH3:16])([CH3:17])[OH:18])[c:19]([C:20](=[O:21])[OH:22])[nH:23]1>>[CH2:1]([O:2][C:3]([O:4][CH:5]([CH3:6])[CH3:7])=[O:8])[O:22][C:20]([c:19]1[c:14]([C:15]([CH3:16])([CH3:17])[OH:18])[n:13][c:12]([CH2:11][CH2:10][CH3:9])[nH:23]1)=[O:21],Cl-[C:1].O=C-[O:2]>>[C:1]-[O:2]
239,CCO.OO.[CH3:1][CH2:2][CH2:3][CH2:4][N:5]([CH3:6])[C:7]([NH2:8])=[C:9]([C:10]#[N:11])[C:12]([NH2:13])=[S:14]>>[CH3:1][CH2:2][CH2:3][CH2:4][N:5]([CH3:6])[c:7]1[n:8][s:14][c:12]([NH2:13])[c:9]1[C:10]#[N:11],[N:1]-[C:2]=[C:3]-[C:4]=[S:5]>>[c:4]1:[c:3]:[c:2]:[n:1]:[s:5]:1
693,CC(=O)O.Cc1ccccc1.Cl[CH2:1][C:2](=[CH2:3])[Cl:4].[O:5]=[CH:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1.[Zn]>>[CH2:1]([C:2](=[CH2:3])[Cl:4])[CH:6]([OH:5])[c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1,Cl-[C:1].[C:2]=[O:3]>>[C:1]-[C:2]-[O:3]
879,CC(=O)O.CCCCO.O=[CH:1][CH2:2][C:3](=O)[c:4]1[cH:5][cH:6][cH:7][n:8][cH:9]1.[CH3:10][c:11]1[cH:12][cH:13][c:14]([NH2:15])[cH:16][c:17]1[NH:18][C:19](=[NH:20])[NH2:21].[K+].[Na].[OH-]>>[cH:1]1[cH:2][c:3](-[c:4]2[cH:5][cH:6][cH:7][n:8][cH:9]2)[n:20][c:19]([NH:18][c:17]2[c:11]([CH3:10])[cH:12][cH:13][c:14]([NH2:15])[cH:16]2)[n:21]1,[N:1]-[C:2]=[N:3].O=[C:4]-[C:5]-[C:6]=O>>[c:2]1:[n:3]:[c:6]:[c:5]:[c:4]:[n:1]:1
1026,ClC(Cl)Cl.Oc1ccc(O)cc1.[CH2:1]=[CH:2][C:3]([CH3:4])=[O:5].[CH2:6]=[C:7]1[C:8](=[CH2:9])[CH:10]2[O:11][CH:12]1[C:13](=[CH2:14])[C:15]2=[CH2:16].[Cl-].[Cl-].[Zn+2]>>[CH2:1]1[CH:2]([C:3]([CH3:4])=[O:5])[CH2:6][C:7]2=[C:8]([CH2:9]1)[CH:10]1[O:11][CH:12]2[C:13](=[CH2:14])[C:15]1=[CH2:16],[C:1]=[C:2].[C:3]=[C:4]-[C:5]=[C:6]>>[C:1]1-[C:2]-[C:3]-[C:4]=[C:5]-[C:6]-1
1356,ClC(Cl)(Cl)[Cl:1].O[c:2]1[c:3]2[cH:4][c:5]([CH2:6][CH2:7][NH:8][C:9]([O:10][C:11]([CH3:12])([CH3:13])[CH3:14])=[O:15])[s:16][c:17]2[n:18][cH:19][n:20]1.c1ccc(P(c2ccccc2)c2ccccc2)cc1>>[Cl:1][c:2]1[c:3]2[cH:4][c:5]([CH2:6][CH2:7][NH:8][C:9]([O:10][C:11]([CH3:12])([CH3:13])[CH3:14])=[O:15])[s:16][c:17]2[n:18][cH:19][n:20]1,O-[c:1].Cl-C(-Cl)(-Cl)-[Cl:2]>>[Cl:2]-[c:1]
1478,Br[c:1]1[n:2][cH:3][cH:4][c:5]([C:6](=[O:7])[N:8]2[CH2:9][CH2:10][O:11][CH2:12][CH2:13]2)[cH:14]1.CCCC[Sn](CCCC)(CCCC)[c:15]1[cH:16][cH:17][cH:18][s:19]1.O=C(c1ccnc(-c2cccs2)c1)N1CCCC1>>[c:1]1(-[c:15]2[cH:16][cH:17][cH:18][s:19]2)[n:2][cH:3][cH:4][c:5]([C:6](=[O:7])[N:8]2[CH2:9][CH2:10][O:11][CH2:12][CH2:13]2)[cH:14]1,Br-[c:1].C-C-C-C-[Sn](-[c:2])(-C-C-C-C)-C-C-C-C>>[c:1]-[c:2]
3017,CCO.O=[Pt].[CH3:1][C:2](=[O:3])[OH:4].[H][H].[NH2:5][C:6](=[O:7])[c:8]1[cH:9][n:10][cH:11][cH:12][n:13]1>>[CH3:1][C:2](=[O:3])[OH:4].[CH3:1][C:2](=[O:3])[OH:4].[NH2:5][C:6](=[O:7])[CH:8]1[CH2:9][NH:10][CH2:11][CH2:12][NH:13]1,[c:1]1:[c:2]:[n:3]:[c:4]:[c:5]:[n:6]:1>>[C:1]1-[C:2]-[N:3]-[C:4]-[C:5]-[N:6]-1
3099,CC(C)(C)OC(=O)[NH:1][C:2]1([c:3]2[cH:4][cH:5][c:6](-[c:7]3[n:8][c:9]4[c:10]([cH:11][c:12]3-[c:13]3[cH:14][cH:15][cH:16][cH:17][cH:18]3)[N:19]([CH:20]([CH3:21])[C:22]#[N:23])[C:24](=[O:25])[CH2:26][O:27]4)[cH:28][cH:29]2)[CH2:30][CH2:31][CH2:32]1.N#CCCN1C(=O)COc2nc(-c3ccc(C4(N)CCC4)cc3)c(-c3ccccc3)cc21>>[NH2:1][C:2]1([c:3]2[cH:4][cH:5][c:6](-[c:7]3[n:8][c:9]4[c:10]([cH:11][c:12]3-[c:13]3[cH:14][cH:15][cH:16][cH:17][cH:18]3)[N:19]([CH:20]([CH3:21])[C:22]#[N:23])[C:24](=[O:25])[CH2:26][O:27]4)[cH:28][cH:29]2)[CH2:30][CH2:31][CH2:32]1,C-C(-C)(-C)-O-C(=O)-[N:1]>>[N:1]
