data_idx,mapped_rxn,template
794,Br[c:1]1[cH:2][c:3]([CH3:4])[c:5]([N:6]2[CH2:7][CH2:8][N:9]([C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16])[CH2:17][CH2:18]2)[n:19][cH:20]1.C1CCOC1.O.OB(O)[CH3:21].[F-].[K+]>>[c:1]1([CH3:21])[cH:2][c:3]([CH3:4])[c:5]([N:6]2[CH2:7][CH2:8][N:9]([C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16])[CH2:17][CH2:18]2)[n:19][cH:20]1,Br-[c:1].O-B(-O)-[C:2]>>[c:1]-[C:2]
1375,Cl[c:1]1[n:2][c:3]([Cl:4])[c:5]2[n:6][cH:7][n:8]([C@@H:9]3[O:10][C@H:11]([CH2:12][O:13][C:14]([CH3:15])=[O:16])[C@@H:17]([O:18][C:19]([CH3:20])=[O:21])[C@H:22]3[O:23][C:24]([CH3:25])=[O:26])[c:27]2[n:28]1.O.[Cu][C:29]#[N:30]>>[c:1]1([C:29]#[N:30])[n:2][c:3]([Cl:4])[c:5]2[n:6][cH:7][n:8]([C@@H:9]3[O:10][C@H:11]([CH2:12][O:13][C:14]([CH3:15])=[O:16])[C@@H:17]([O:18][C:19]([CH3:20])=[O:21])[C@H:22]3[O:23][C:24]([CH3:25])=[O:26])[c:27]2[n:28]1,Cl-[c:2].N#[C:1]-[Cu]>>N#[C:1]-[c:2]
1522,CCO.Cl.N[NH:1][c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1.O=S(=O)(O)O.O=[C:8]([C:9]([O:10][CH2:11][CH3:12])=[O:13])[CH2:14][CH2:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1>>[nH:1]1[c:2]2[c:3]([cH:4][cH:5][cH:6][cH:7]2)[c:14]([CH2:15][c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)[c:8]1[C:9]([O:10][CH2:11][CH3:12])=[O:13],O=[C:1]-[C:5].N-[N:2]-[c:3]:[c:4]>>[c:1]1:[n:2]:[c:3]:[c:4]:[c:5]:1
1681,O.[Cl-].[N-:1]=[N+:2]=[N-:3].[N:4]#[C:5][CH2:6][c:7]1[cH:8][cH:9][c:10]2[o:11][cH:12][c:13](-[c:14]3[cH:15][cH:16][cH:17][cH:18][cH:19]3)[c:20]2[cH:21]1.[NH4+].[Na+]>>[n:1]1[n:2][nH:3][c:5]([CH2:6][c:7]2[cH:8][cH:9][c:10]3[o:11][cH:12][c:13](-[c:14]4[cH:15][cH:16][cH:17][cH:18][cH:19]4)[c:20]3[cH:21]2)[n:4]1,[C:1]#[N:5].[N:2]=[N:3]=[N:4]>>[c:1]1:[n:2]:[n:3]:[n:4]:[n:5]:1
1917,CC#N.CCOC(C)=O.[O:1]=[C:2]([NH:3][CH:4]([C:5](=[O:6])[O:7][C@H:8]1[CH2:9][N:10]2[CH2:11][CH2:12][CH:13]1[CH2:14][CH2:15]2)[c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1)[c:22]1[cH:23][cH:24][cH:25][cH:26][cH:27]1.[O:28]=[C:29]([CH2:30][Cl:31])[c:32]1[cH:33][cH:34][cH:35][cH:36][cH:37]1>>[Cl-:31].[O:1]=[C:2]([NH:3][CH:4]([C:5](=[O:6])[O:7][C@H:8]1[CH2:9][N+:10]2([CH2:30][C:29](=[O:28])[c:32]3[cH:33][cH:34][cH:35][cH:36][cH:37]3)[CH2:11][CH2:12][CH:13]1[CH2:14][CH2:15]2)[c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1)[c:22]1[cH:23][cH:24][cH:25][cH:26][cH:27]1,[N:1].Cl-[C:2]>>[N:1]-[C:2]
2096,C=[CH:1][CH2:2][N:3]([CH2:4][CH:5]=C)[C:6](=[O:7])[O:8][CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1.ClCCl>>[CH:1]1=[CH:5][CH2:4][N:3]([C:6](=[O:7])[O:8][CH2:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[CH2:2]1,C=[C:1].C=[C:2]>>[C:1]=[C:2]
2722,CN(C)C=O.I[c:1]1[cH:2][c:3]([F:4])[cH:5][c:6]([C:7]([O:8][CH3:9])=[O:10])[c:11]1-[c:12]1[c:13](I)[cH:14][c:15]([F:16])[cH:17][c:18]1[C:19](=[O:20])[O:21][CH3:22].[Cu]>>[c:1]12[cH:2][c:3]([F:4])[cH:5][c:6]([C:7]([O:8][CH3:9])=[O:10])[c:11]1-[c:12]1[c:13]-2[cH:14][c:15]([F:16])[cH:17][c:18]1[C:19](=[O:20])[O:21][CH3:22],I-[c:1].I-[c:2]>>[c:1]-[c:2]
3350,CCO.ClCCl.O=[C:1]([CH2:2][CH:3]([C:4]([O:5][CH2:6][CH3:7])=[O:8])[C:9](=O)[c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[CH3:16].[NH2:17][c:18]1[cH:19][cH:20][cH:21][c:22]([I:23])[cH:24]1>>[c:1]1([CH3:16])[cH:2][c:3]([C:4]([O:5][CH2:6][CH3:7])=[O:8])[c:9](-[c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[n:17]1-[c:18]1[cH:19][cH:20][cH:21][c:22]([I:23])[cH:24]1,[N:4].O=C-[C:1](-[C:2]-[C:3]=O)-[C:5]=O>>O=C-[c:1]1:[c:2]:[c:3]:[n:4]:[c:5]:1
3570,Br[c:1]1[cH:2][c:3]([O:4][CH3:5])[c:6](-[c:7]2[n:8][c:9]3[c:10]([CH3:11])[n:12][n:13]([CH:14]4[CH2:15][CH2:16][CH2:17][CH2:18][CH2:19]4)[c:20]3[c:21](=[O:22])[nH:23]2)[cH:24][cH:25]1.CC(=O)[O-].CC(=O)[O-].CCN(CC)CC.CN(C)C=O.Cc1ccccc1P(c1ccccc1C)c1ccccc1C.O.[CH2:26]=[CH:27][C:28](=[O:29])[O:30][CH3:31].[Pd+2]>>[c:1]1(/[CH:26]=[CH:27]/[C:28](=[O:29])[O:30][CH3:31])[cH:2][c:3]([O:4][CH3:5])[c:6](-[c:7]2[n:8][c:9]3[c:10]([CH3:11])[n:12][n:13]([CH:14]4[CH2:15][CH2:16][CH2:17][CH2:18][CH2:19]4)[c:20]3[c:21](=[O:22])[nH:23]2)[cH:24][cH:25]1,Br-[c:2].C=[C:1]>>C=[C:1]/[c:2]
3706,COC(=O)[C@H](C(C)C)N1Cc2ccc(-c3ccc(NC(=S)Nc4ccccc4F)cc3)cc2C1=O.[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH:6]([CH3:7])[CH3:8])[N:9]1[CH2:10][c:11]2[cH:12][cH:13][c:14](-[c:15]3[cH:16][cH:17][c:18]([NH2:19])[cH:20][cH:21]3)[cH:22][c:23]2[C:24]1=[O:25].[N:26]#[C:27][c:28]1[cH:29][cH:30][cH:31][c:32]([N:33]=[C:34]=[S:35])[cH:36]1>>[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH:6]([CH3:7])[CH3:8])[N:9]1[CH2:10][c:11]2[cH:12][cH:13][c:14](-[c:15]3[cH:16][cH:17][c:18]([NH:19][C:34]([NH:33][c:32]4[cH:31][cH:30][cH:29][c:28]([C:27]#[N:26])[cH:36]4)=[S:35])[cH:20][cH:21]3)[cH:22][c:23]2[C:24]1=[O:25],[N:1].[C:2]=[N:3]>>[N:1]-[C:2]-[N:3]
