data_idx,mapped_rxn,template
0,CCN(CC)CC.CCOCC.Cl[S:3]([CH2:2][CH3:1])(=[O:4])=[O:5].[OH:6][CH2:7][CH2:8][Br:9]>>[CH3:1][CH2:2][S:3](=[O:4])(=[O:5])[O:6][CH2:7][CH2:8][Br:9],[O:1].Cl-[S:2]>>[O:1]-[S:2]
3,CC(=O)O.O.O=[N+:1]([O-])[c:2]1[cH:3][cH:4][cH:5][c:6]2[cH:7][n:8][c:9]([Cl:10])[cH:11][c:12]12.[Fe].[Na+].[OH-]>>[NH2:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[cH:7][n:8][c:9]([Cl:10])[cH:11][c:12]12,O=[N:1]-[O-]>>[N:1]
4,O=P([Cl:14])(Cl)Cl.[O-][n+:15]1[c:2]([CH3:1])[cH:3][c:4]2[c:5]([N+:6](=[O:7])[O-:8])[cH:9][cH:10][cH:11][c:12]2[cH:13]1>>[CH3:1][c:2]1[cH:3][c:4]2[c:5]([N+:6](=[O:7])[O-:8])[cH:9][cH:10][cH:11][c:12]2[c:13]([Cl:14])[n:15]1,Cl-P(-Cl)(=O)-[Cl:1].[O-]-[n:3]:[c:2]>>[Cl:1]-[c:2]:[n:3]
11,CCO.Cl.[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][C@H:6]([OH:7])[CH:8]=[CH:9][CH:10]1[CH:11]=[CH:12][C:13](=[O:14])[CH:15]1[CH2:16][CH:17]=[CH:18][CH2:19][CH2:20][CH2:21][C:22](=[O:23])[OH:24]>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][C@H:6]([OH:7])[CH:8]=[CH:9][CH:10]1[CH2:11][CH2:12][C:13](=[O:14])[CH:15]1[CH2:16][CH:17]=[CH:18][CH2:19][CH2:20][CH2:21][C:22](=[O:23])[OH:24],[C:1]=[C:2]>>[C:1]-[C:2]
16,O=S([Cl:15])Cl.O[C:13]([c:12]1[c:3]([O:2][CH3:1])[cH:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[cH:11]1)=[O:14].c1ccccc1>>[CH3:1][O:2][c:3]1[cH:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[cH:11][c:12]1[C:13](=[O:14])[Cl:15],O-[C:1]=O.Cl-S(=O)-[Cl:2]>>O=[C:1]-[Cl:2]
22,CN(C)C=O.O=C1CCC(=O)N1[Br:15].[CH3:1][N:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[CH2:9][C:10](=[O:11])[c:12]2[cH:13][cH:14][cH:16][cH:17][c:18]21>>[CH3:1][N:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[CH2:9][C:10](=[O:11])[c:12]2[cH:13][c:14]([Br:15])[cH:16][cH:17][c:18]21,[c:1].O=C1-C-C-C(=O)-N-1-[Br:2]>>[c:1]-[Br:2]
24,CCO.Cl.O[C:7]1([CH2:6][C:4]([O:3][CH2:2][CH3:1])=[O:5])[CH2:8][c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]2[N:15]([CH3:16])[c:17]2[cH:18][cH:19][c:20]([S:21][CH2:22][CH3:23])[cH:24][c:25]21>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[C:7]1[CH2:8][c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]2[N:15]([CH3:16])[c:17]2[cH:18][cH:19][c:20]([S:21][CH2:22][CH3:23])[cH:24][c:25]21,O-[C:2]-[C:1]-C=O>>O=C-[C:1]=[C:2]
27,ClC(Cl)Cl.O.O=[N+]([O-])c1ccc(O[C:12]([CH2:11][C:10]2=[CH:17][c:18]3[cH:19][cH:20][cH:21][cH:22][c:23]3[N:24]([CH3:25])[c:7]3[cH:6][cH:5][c:4]([S:3][CH2:2][CH3:1])[cH:9][c:8]32)=[O:13])cc1.[NH:14]([CH3:15])[CH3:16]>>[CH3:1][CH2:2][S:3][c:4]1[cH:5][cH:6][c:7]2[c:8]([cH:9]1)[C:10]([CH2:11][C:12](=[O:13])[N:14]([CH3:15])[CH3:16])=[CH:17][c:18]1[cH:19][cH:20][cH:21][cH:22][c:23]1[N:24]2[CH3:25],[N:2].O=[C:1]-O-c1:c:c:c(-[N+](=O)-[O-]):c:c:1>>O=[C:1]-[N:2]
28,C1CCOC1.CCOC(C)=O.O=[C:12]([CH2:11][C:10]1=[CH:16][c:17]2[cH:18][cH:19][cH:20][cH:21][c:22]2[N:23]([CH3:24])[c:7]2[cH:6][cH:5][c:4]([S:3][CH2:2][CH3:1])[cH:9][c:8]21)[N:13]([CH3:14])[CH3:15].[Al+3].[H-].[H-].[H-].[H-].[Li+].[Na+].[OH-]>>[CH3:1][CH2:2][S:3][c:4]1[cH:5][cH:6][c:7]2[c:8]([cH:9]1)[C:10]([CH2:11][CH2:12][N:13]([CH3:14])[CH3:15])=[CH:16][c:17]1[cH:18][cH:19][cH:20][cH:21][c:22]1[N:23]2[CH3:24],O=[C:1]>>[C:1]
31,N[c:2]1[cH:3][cH:4][c:5]2[n:6][c:7]3[n:8]([c:9]2[cH:10]1)[CH2:11][CH2:12][CH2:13]3.O.O=N[O-].[ClH:1].[Na+]>>[Cl:1][c:2]1[cH:3][cH:4][c:5]2[n:6][c:7]3[n:8]([c:9]2[cH:10]1)[CH2:11][CH2:12][CH2:13]3,[Cl:1].N-[c:2]>>[Cl:1]-[c:2]
32,CC(=O)O.CCO.CCO[C:2](=[O:1])[c:4]1[cH:5][cH:6][c:7]2[c:8]([cH:9]1)[n:10][c:11]1[n:12]2[CH2:13][CH2:14][CH2:15]1.[Na+].[OH-:3]>>[O:1]=[C:2]([OH:3])[c:4]1[cH:5][cH:6][c:7]2[c:8]([cH:9]1)[n:10][c:11]1[n:12]2[CH2:13][CH2:14][CH2:15]1,[O:2].C-C-O-[C:1]=O>>O=[C:1]-[O:2]
33,[CH3:1][C:2](=[O:3])OC(C)=O.[NH2:4][c:5]1[cH:6][cH:7][c:8]2[n:9][c:10]3[n:11]([c:12]2[cH:13]1)[CH2:14][CH2:15][CH2:16]3.c1ccccc1>>[CH3:1][C:2](=[O:3])[NH:4][c:5]1[cH:6][cH:7][c:8]2[n:9][c:10]3[n:11]([c:12]2[cH:13]1)[CH2:14][CH2:15][CH2:16]3,[N:2].C-C(=O)-O-[C:1]=O>>O=[C:1]-[N:2]
